Km	Vd	kabs	kcat	F[0]	scanIteration	fitterIteration	
5.528412e+00	5.275000e+00	2.111109e+00	7.849502e-01	1.158175e-02	42	15	
5.528412e+00	5.275000e+00	2.111109e+00	6.919995e-01	2.047751e-02	43	10	
5.004922e+00	5.030568e+00	1.981945e+00	7.933256e-01	8.666171e-03	44	25	
5.130953e+00	4.843202e+00	1.806215e+00	7.797605e-01	1.402025e-02	45	54	
5.260159e+00	5.030568e+00	1.714703e+00	7.473495e-01	1.475665e-02	46	29	
5.312747e+00	5.078531e+00	2.359921e+00	7.613602e-01	1.025131e-02	47	16	
5.156538e+00	5.030568e+00	1.916795e+00	8.081982e-01	1.491871e-02	48	23	
5.473689e+00	5.225181e+00	1.967278e+00	7.239284e-01	1.908894e-02	49	11	
4.906329e+00	4.446751e+00	1.477996e+00	7.654112e-01	1.325873e-02	50	41	
5.473689e+00	5.225181e+00	1.916795e+00	7.523235e-01	2.176994e-02	51	12	
5.419507e+00	5.175833e+00	1.860683e+00	7.654112e-01	1.207063e-02	52	10	
4.809678e+00	4.935996e+00	2.377515e+00	7.891268e-01	1.535459e-03	53	27	
5.528412e+00	5.275000e+00	2.126848e+00	7.891268e-01	7.639808e-03	54	9	
5.419507e+00	5.175833e+00	2.970959e+00	7.087236e-01	1.203035e-02	55	20	
5.528412e+00	5.275000e+00	2.079980e+00	7.503299e-01	2.153185e-02	56	8	
5.473689e+00	5.225181e+00	2.049310e+00	8.443676e-01	1.658390e-02	57	11	
5.752831e+00	5.479070e+00	2.905490e+00	6.356686e-01	1.417778e-02	58	13	
5.473689e+00	5.225181e+00	2.019092e+00	7.664274e-01	1.939306e-02	59	9	
5.528412e+00	5.275000e+00	2.126848e+00	6.856028e-01	1.736680e-02	60	7	
5.208091e+00	5.126951e+00	2.049310e+00	8.114213e-01	5.631134e-03	61	20	
5.528412e+00	5.275000e+00	2.541881e+00	7.162856e-01	1.249651e-02	62	10	
5.528412e+00	5.275000e+00	2.541881e+00	7.258518e-01	1.029134e-02	63	7	
5.528412e+00	5.275000e+00	2.072270e+00	7.613602e-01	2.671798e-02	64	4	
5.528412e+00	5.275000e+00	2.118964e+00	7.414241e-01	1.211873e-02	65	6	
4.906329e+00	4.983058e+00	1.888531e+00	7.528227e-01	1.408968e-02	66	39	
5.286388e+00	5.126951e+00	1.981945e+00	7.292301e-01	2.113255e-02	67	33	
5.528412e+00	5.275000e+00	2.064588e+00	7.316527e-01	2.667821e-02	68	6	
5.473689e+00	5.225181e+00	1.996721e+00	7.297140e-01	2.776476e-02	69	13	
5.054958e+00	4.843202e+00	2.182864e+00	7.191422e-01	3.749067e-03	70	41	
5.392618e+00	5.175833e+00	2.000432e+00	7.593427e-01	1.635081e-02	71	22	
4.930793e+00	4.959471e+00	1.888531e+00	8.222580e-01	1.195849e-02	72	43	
6.137107e+00	5.275000e+00	2.095487e+00	7.548228e-01	1.816409e-02	73	104	
5.105496e+00	4.889379e+00	1.670701e+00	7.375000e-01	1.385569e-02	74	29	
5.528412e+00	5.275000e+00	2.072270e+00	7.282632e-01	1.908568e-02	75	7	
5.528412e+00	5.275000e+00	2.079980e+00	7.389691e-01	1.838858e-02	76	7	
5.639506e+00	5.325294e+00	1.945482e+00	7.200969e-01	1.189510e-02	77	14	
5.419507e+00	5.175833e+00	1.981945e+00	7.424084e-01	1.868430e-02	78	14	
5.473689e+00	5.225181e+00	2.004150e+00	6.614788e-01	3.139752e-02	79	21	
5.473689e+00	5.225181e+00	2.019092e+00	7.705054e-01	1.717268e-02	80	11	
5.528412e+00	5.275000e+00	2.064588e+00	7.573305e-01	1.799377e-02	81	8	
5.528412e+00	5.275000e+00	1.952720e+00	6.356686e-01	2.729257e-02	82	5	
5.365862e+00	5.126951e+00	2.064588e+00	7.483416e-01	1.435830e-02	83	20	
5.528412e+00	5.275000e+00	2.076121e+00	7.068455e-01	1.244652e-02	84	4	
5.528412e+00	5.275000e+00	1.974598e+00	6.819741e-01	2.616224e-02	85	10	
5.208091e+00	4.707272e+00	1.733914e+00	7.148616e-01	2.283063e-02	86	89	
5.528412e+00	5.275000e+00	2.079980e+00	7.404411e-01	1.633914e-02	87	5	
5.528412e+00	5.275000e+00	2.134762e+00	7.404411e-01	1.307534e-02	88	4	
5.528412e+00	5.275000e+00	2.126848e+00	6.956815e-01	1.610688e-02	89	7	
5.528412e+00	5.275000e+00	2.072270e+00	6.984559e-01	1.890920e-02	90	6	
5.004922e+00	4.797462e+00	1.740365e+00	7.901744e-01	1.747735e-02	91	37	
5.528412e+00	5.275000e+00	2.083846e+00	7.613602e-01	2.117276e-02	92	6	
5.528412e+00	5.275000e+00	2.056935e+00	6.792652e-01	1.673541e-02	93	5	
5.419507e+00	5.175833e+00	2.449212e+00	7.735782e-01	8.760874e-03	94	11	
5.528412e+00	5.275000e+00	2.049310e+00	7.543223e-01	2.354357e-02	95	10	
5.312747e+00	5.175833e+00	3.037904e+00	7.200969e-01	4.069359e-03	96	14	
5.528412e+00	5.275000e+00	3.296534e+00	6.792652e-01	1.095807e-02	97	7	
